Risc_1,Signal_1,Risc_2,Signal_2,Risc_3,Signal_3,Risc_4,Signal_4,Risc_5,Signal_5,Risc_6,Signal_6,Risc_7,Signal_7,Risc_8,Signal_8,Rh,Data,no2,o3,co
122.675352112676,3258786.34084507,124.411408450704,155556.08028169,129.132816901408,34365659.2394366,128.108309859155,27277776.915493,129.674084507042,23793988.9549296,126.879154929578,32475563.3239437,137.926197183099,103842368.169014,105.581690140845,66119020.3774648,19.6335211267606,15-Oct-2019 02,36,9,0.6
122.601265822785,3538278.10548523,124.340084388185,167133.535864979,129.067510548523,39458766.9029536,128.053445850914,30462285.6399437,129.604219409283,28567800.0140647,126.832348804501,36861844.6638537,137.83488045007,103390837.434599,105.548382559775,65554352.5738397,21.3437412095639,15-Oct-2019 03,28,14,0.6
122.611251758087,4579543.36849508,124.320112517581,209126.153305204,129.036849507736,48695466.5991561,128.026722925458,38274141.3361463,129.576793248945,53026317.4233474,126.808438818565,58718562.6216596,137.824894514768,109215901.592124,105.540787623066,68434065.8227848,21.9035161744022,15-Oct-2019 04,30,7,0.6
122.6,3652408.41126761,124.327464788732,165017.901408451,129.061408450705,42387011.7633803,128.04323943662,32027891.915493,129.608028169014,26679307.571831,126.829014084506,34387150.228169,137.840281690141,107353552.969014,105.547464788732,67917158.7042253,21.4325352112676,15-Oct-2019 05,34,6,0.6
122.620112517581,3005952.20815752,124.346272855134,145098.988748242,129.078340365682,33009331.6624473,128.055977496484,24758784.7313643,129.618424753867,20105866.1462729,126.833052039381,28113783.0070323,137.858368495077,103098895.279887,105.547538677918,65531452.6638537,21.0353023909986,15-Oct-2019 06,38,3,0.8
122.582137834037,2632501.92827004,124.309985935302,134113.558368495,129.061181434599,21763400.0112518,128.05035161744,16882316.0731364,129.60576652602,15903061.6455696,126.820956399437,23980276.652602,137.839521800281,102573945.811533,105.549789029536,65428847.0998593,21.6330520393812,15-Oct-2019 07,42,3,0.9
122.601408450704,2423682.13943662,124.337605633802,129141.708450704,129.075070422536,12365079.684507,128.055352112676,11104406.0957746,129.625774647887,15044293.3887324,126.841830985915,23009059.8,137.85338028169,97595785.2507042,105.551830985916,62476908.1521127,21.0660563380282,15-Oct-2019 08,40,4,0.9
122.541912798875,2486772.12939522,124.273277074543,138158.755274262,129.024613220816,9550319.54711674,127.991701828412,9648569.55555556,129.576652601969,19130738.9479606,126.800562587904,28712061.5864979,137.799859353023,103438192.821378,105.518284106892,65251683.3811533,22.1275668073137,15-Oct-2019 09,46,4,0.9
122.591842475387,2422495.34177215,124.299718706048,132668.991561181,129.043459915612,7312834.29676512,128.009423347398,7913537,129.596343178622,17192163.6708861,126.816455696203,26161640.5035162,137.832208157525,96935724.0618847,105.527566807314,61293708.0562588,21.7901547116737,15-Oct-2019 10,36,7,0.8
122.504922644163,2697941.50773558,124.257102672292,151067.797468354,128.969620253164,13953883.97609,127.986497890295,12967972.5682138,129.510267229254,26468884.2531646,126.739943741209,36880650.2278481,137.777215189873,108598583.448664,105.475386779184,67841984.1462729,22.9407876230661,15-Oct-2019 11,43,6,0.8
122.495921237693,2692225.73558368,124.279887482419,149826.947960619,129.002953586498,14211375.1729958,128.005344585092,12870608.742616,129.539943741209,23796011.2939522,126.769338959212,34772293.3727145,137.741068917018,108553351.696203,105.508860759494,67766124.2025317,23.6088607594937,15-Oct-2019 12,40,8,0.8
122.499014084507,2825888.67746479,124.283802816901,155029.012676056,129.000422535212,17053354.4704225,128.039718309859,15062363.4478873,129.540985915493,29368803.0507042,126.777464788732,40139114,137.747464788732,107440983.256338,105.518732394366,67211032.4901408,23.9628169014083,15-Oct-2019 13,39,12,0.7
122.490998593531,3375116.07876231,124.234317862165,178776.710267229,128.949929676511,31469085.2067511,127.972151898734,25321815.2995781,129.479606188467,45787803.9015471,126.717158931082,55961735.0267229,137.767369901548,111447264.371308,105.481293952181,69352911.0267229,23.6423347398031,15-Oct-2019 14,36,17,0.8
122.688466947961,5275839.08016878,124.365682137834,254892.268635724,128.999437412096,49391752.0675105,128.004500703235,40992805.4092827,129.635724331927,81857853.0070323,126.775808720112,92518872.92827,137.880028129395,113755928.270042,105.561462728551,70118954.1040788,23.5021097046413,15-Oct-2019 15,50,10,0.8
122.685372714486,3616439.50773558,124.36188466948,176207.606188467,129.053727144866,42727144.5288326,128.073980309423,33211294.8579466,129.698030942335,35992856.1490858,126.837974683544,46216904.838256,137.921378340365,109514330.205345,105.57158931083,68434808.9001406,23.7704641350211,15-Oct-2019 16,37,34,0.8
122.66905766526,23119125.8466948,124.425316455695,36930816.9479606,129.064978902954,61410324.838256,128.084669479606,58031071.4205345,129.66188466948,258078824.011252,126.850773558368,260312053.448664,137.926019690576,127192280.776371,105.562869198312,74959537.6540084,22.8309423347399,15-Oct-2019 17,21,55,0.9
122.835774647887,56444032.8,124.59028169014,102755395.705634,129.106338028169,135353643.95493,128.092816901408,123654384.946479,129.71338028169,483145918.467606,126.904366197183,482954577.892958,138.001549295774,150044342.467606,105.612676056338,83300872.0901408,23.1957746478873,15-Oct-2019 18,31,35,0.8
122.672714486639,40102008.1350211,124.420815752462,14377351.7946554,128.993670886077,121505394.452883,128.022222222222,109141022.987342,129.522784810127,416864276.635724,126.761462728551,422585926.683544,137.845428973278,140481063.201125,105.533755274261,80482426.3628692,25.9161744022503,15-Oct-2019 19,32,34,0.7
122.686919831224,40565513.3811533,124.400703234881,5132253.16033755,128.976933895922,118028147.33052,127.913361462729,108426034.002813,129.493952180029,412892605.322082,126.755836849507,420404595.623066,137.861744022504,138428831.437412,105.480450070324,80081381.7946554,26.6140646976088,15-Oct-2019 20,28,42,0.7
122.693670886076,49411622.7960619,124.464556962026,81811211.4796062,129.012658227848,136080333.828411,128.017018284107,128601907.769339,129.56835443038,466720817.552743,126.788185654008,471617122.317862,137.879324894515,145628189.558369,105.569198312236,82543287.718706,25.5436005625878,15-Oct-2019 21,41,29,0.6
122.730098452883,30659838.6469761,124.472433192687,3309545.23488045,129.049507735584,110598716.950774,128.055274261603,102892611.735584,129.608016877637,304606656.146273,126.817721518987,323658787.465541,137.912798874825,133683235.758087,105.553727144866,78393758.0872011,25.0676511954993,15-Oct-2019 22,29,36,0.6
122.740225035162,41693552.4500703,124.510267229255,10467394.8312236,129.052742616034,121924849.811533,128.065260196906,115588227.690577,129.619971870605,421643259.994374,126.818424753867,431361631.977497,137.921800281294,139682923.634318,105.576511954993,80731573.6933896,24.5711673699015,15-Oct-2019 23,35,22,0.6
122.712676056338,20003423.9943662,124.453661971831,801717.474647887,129.059999999999,94658603.6169014,128.037887323943,85610940.5746479,129.60366197183,167419018.411268,126.818028169014,192555180.529577,137.908732394367,126760500.28169,105.54014084507,76015410.4225352,23.9171830985916,16-Oct-2019 00,26,22,0.6
122.731082981716,19118107.6933896,124.473980309424,624138.497890295,129.087904360056,87862207.8537271,128.07552742616,79771054.323488,129.646132208157,162566651.769339,126.854430379747,184770860.54571,137.925879043601,125528929.271449,105.574402250351,75887675.7580872,23.487482419128,16-Oct-2019 01,22,21,0.6
122.807876230661,13523589.1364276,124.548382559775,424575.538677918,129.170464135021,77861388.4894515,128.163713080168,69387094.6947961,129.723628691983,104143557.541491,126.92770745429,121173117.817159,138.009563994375,119496082.891702,105.601406469761,73700920.6863572,21.9308016877637,16-Oct-2019 02,24,19,0.6
122.868309859155,8231694.25915493,124.598591549296,265256.849295775,129.255070422535,64114281.2,128.216338028169,56013365.3352113,129.789014084507,72186462.5746479,126.994084507042,81881798.6985915,138.078873239437,112882447.335211,105.62676056338,71129853.9211268,20.5101408450704,16-Oct-2019 03,20,20,0.5
122.890436005626,8639621.29957806,124.619690576653,290585.444444444,129.272714486638,62740865.0351617,128.238115330521,55169329.3614627,129.801687763713,79922191.0998594,127.022222222222,90471572.5457103,138.101265822785,114423589.31083,105.643319268636,71915921.1139241,19.8119549929677,16-Oct-2019 04,16,26,0.5
